pref_code,month,ICN,GMP,PUS,CJU
24,12,293.6,291.6,274.4,371.6
34,12,282.8,508.1,285.3,277.5
1,12,339.2,1124.8,336.6,1102.5
28,12,261.2,282.6,263.5,280.9
12,12,311.8,309.6,298.0,317.2
16,12,336.3,468.5,451.3,559.6
13,12,298.5,296.4,331.4,350.6
11,12,317.1,315.0,335.3,354.5
35,12,288.5,600.3,322.2,332.9
7,12,343.9,530.7,488.3,507.6
17,12,286.7,454.7,437.5,522.5
18,12,297.0,405.2,388.0,453.6
38,12,248.4,489.9,224.5,302.7
29,12,309.7,313.8,294.7,312.1
32,12,255.3,483.9,404.0,350.9
3,12,407.1,755.9,638.4,729.8
31,12,329.1,403.5,384.4,401.8
36,12,260.4,327.4,308.3,325.7
46,12,276.6,793.5,358.3,443.0
15,12,283.2,548.9,534.5,553.7
39,12,324.5,437.7,300.6,347.7
45,12,252.3,705.1,329.6,424.8
14,12,298.0,295.9,344.2,363.4
