pref_code,month,min_minutes,best_dep,best_arr,n_reachable,gravity,foreign_total,korea,korea_uncertain,pref_ja,pref_en,capital,lat,lon,korea_share,log_foreign,korea_share_pred,korea_share_resid,korea_share_ratio,korea_pred,korea_resid,korea_ratio
23,6,280.7425272178259,PUS,NGO,1,7.429158160710275,348880.0,48440.0,False,愛知県,Aichi Ken,名古屋市,35.1802,136.9066,0.13884430176565,12.762483302516648,0.12187403651968051,0.13036515032529872,1.1392443028111987,37676.08155077158,0.25130046719827526,1.285696335876203
23,7,280.7425272178259,PUS,NGO,1,7.953193214618622,342110.0,36270.0,False,愛知県,Aichi Ken,名古屋市,35.1802,136.9066,0.1060185320510946,12.742887601757413,0.09793970682590881,0.07926185663703533,1.082487741560695,29686.500306698592,0.2002985459465556,1.2217674574397674
23,8,280.7425272178259,PUS,NGO,1,8.372098444682027,347530.0,34920.0,False,愛知県,Aichi Ken,名古屋市,35.1802,136.9066,0.1004805340546139,12.758606271195935,0.09672350476635387,0.03810757587844993,1.0388429813139584,29650.344151765396,0.1635859984528576,1.177726633500841
23,9,280.7425272178259,PUS,NGO,1,8.420654059546823,308030.0,45010.0,False,愛知県,Aichi Ken,名古屋市,35.1802,136.9066,0.14612213096127,12.637952459809789,0.1127688571279035,0.25910257380666835,1.2957667097356225,30941.427488529378,0.37478870590910773,1.4546840160068923
23,10,280.7425272178259,PUS,NGO,1,8.927564598879275,421870.0,70370.0,False,愛知県,Aichi Ken,名古屋市,35.1802,136.9066,0.1668049399103989,12.952452488686845,0.11608850758050143,0.3624722086996506,1.4368772877429596,43956.539014742884,0.4705656398713014,1.6008994697330037
23,11,280.7425272178259,PUS,NGO,1,8.784457846139672,399300.0,52490.0,False,愛知県,Aichi Ken,名古屋市,35.1802,136.9066,0.1314550463310793,12.897468293051313,0.1051652792825969,0.22313173919258,1.2499852349351663,37647.919675618796,0.3323449768445137,1.3942337439163486
23,12,280.7425272178259,PUS,NGO,1,8.686830715254604,361330.0,66040.0,False,愛知県,Aichi Ken,名古屋市,35.1802,136.9066,0.1827692137381341,12.797546947178816,0.11929546644033166,0.42662090279396003,1.5320717475005663,38727.96138224247,0.5336987635684487,1.7052278933091654
24,1,274.36697910919554,PUS,NGO,2,11.145773154942042,14020.0,2060.0,True,三重県,Mie Ken,津市,34.7303,136.5086,0.1469329529243937,9.54824016058858,0.14607325975429103,0.005868105178921557,1.0058853562352807,2303.59078935862,-0.11176313547252548,0.8942560499530208
24,2,274.36697910919554,PUS,NGO,2,9.75876077669402,12560.0,2160.0,True,三重県,Mie Ken,津市,34.7303,136.5086,0.1719745222929936,9.438272440022189,0.1398452322352575,0.20681001256091225,1.2297489127386618,1978.0058696701876,0.08801902102261128,1.0920088929564993
24,3,274.36697910919554,PUS,NGO,2,10.940007839376864,24040.0,3580.0,True,三重県,Mie Ken,津市,34.7303,136.5086,0.14891846921797,10.087474388649143,0.11463176849980102,0.26167399182310924,1.299102955200665,2983.26475139781,0.18234454541646627,1.2000275866641024
24,4,274.36697910919554,PUS,NGO,2,11.787038142521547,42620.0,4340.0,False,三重県,Mie Ken,津市,34.7303,136.5086,0.1018301267010793,10.660078905652608,0.10103761083561891,0.007813168389545488,1.0078437708384627,4543.107683000869,-0.04573694144388263,0.955293227197576
24,5,274.36697910919554,PUS,NGO,2,12.328878713767466,28690.0,3940.0,False,三重県,Mie Ken,津市,34.7303,136.5086,0.1373300801673057,10.26430390897541,0.12493167381210457,0.09462039394500432,1.0992414971870796,3832.5359753119037,0.027654004685460976,1.028039925882066
24,6,274.36697910919554,PUS,NGO,2,11.453461385509458,28850.0,3580.0,True,三重県,Mie Ken,津市,34.7303,136.5086,0.1240901213171577,10.269865271936245,0.13173377402339007,-0.059774936078626606,0.9419765146569385,4013.2045557068964,-0.11422726283669604,0.892055201848391
24,7,274.36697910919554,PUS,NGO,2,12.204221702574236,19350.0,680.0,False,三重県,Mie Ken,津市,34.7303,136.5086,0.0351421188630491,9.870447698457928,0.1058631319299735,-1.1027466728823194,0.33195805019536884,2220.8030607193755,-1.1835313503471543,0.30619554341740246
24,8,274.36697910919554,PUS,NGO,2,12.644348578284148,21190.0,1120.0,False,三重県,Mie Ken,津市,34.7303,136.5086,0.0528551203397829,9.961284651262345,0.10454853784697273,-0.6820968485644037,0.5055558062145903,2378.667881197459,-0.7532119318955672,0.47085177752354995
24,9,274.36697910919554,PUS,NGO,2,12.592891568008952,28510.0,2900.0,False,三重県,Mie Ken,津市,34.7303,136.5086,0.1017186951946685,10.258010181906718,0.12189197605975996,-0.18092409731471992,0.8344986969839499,3660.115377858157,-0.23278393392893637,0.7923247495266216
24,10,274.36697910919554,PUS,NGO,2,13.48968705747067,31570.0,5260.0,True,三重県,Mie Ken,津市,34.7303,136.5086,0.1666138739309471,10.359962581552038,0.1254801897191029,0.2835311078935736,1.32781018504933,4266.717173813045,0.20928630694978878,1.2327979066161747
24,11,274.36697910919554,PUS,NGO,2,13.479969208670166,35960.0,4550.0,True,三重県,Mie Ken,津市,34.7303,136.5086,0.1265294771968854,10.490162488585556,0.11367326078416369,0.10714710264494132,1.1130979820938927,4341.4883514658695,0.04691000551460789,1.048027688123067
24,12,274.36697910919554,PUS,NGO,2,13.680879261454823,29700.0,3310.0,False,三重県,Mie Ken,津市,34.7303,136.5086,0.1114478114478114,10.298902324790792,0.12894659491751417,-0.1458419031930167,0.8642943345584536,4102.183104080754,-0.21457110702235838,0.8068874343291231
25,1,319.5248753763691,PUS,KIX,2,13.402324135488051,20310.0,2660.0,False,滋賀県,Shiga Ken,大津市,35.0045,135.8686,0.1309699655342196,9.91886865457443,0.0841909685303041,0.44188037279856474,1.5556296336830673,1849.1534586865043,0.3635981783287683,1.4384960791136605
25,2,319.5248753763691,PUS,KIX,2,11.892324303579803,19310.0,2130.0,False,滋賀県,Shiga Ken,大津市,35.0045,135.8686,0.110305541170378,9.86837837542256,0.08060137472139743,0.3137384567991761,1.3685317595593682,1678.1401600995068,0.23843584709575794,1.26926227656318
25,3,319.5248753763691,PUS,KIX,2,12.932629258559688,25490.0,3090.0,False,滋賀県,Shiga Ken,大津市,35.0045,135.8686,0.121224009415457,10.146041497370161,0.0660693109099754,0.6069357952125114,1.8348005714882385,1791.2856896300361,0.5452374665208026,1.7250179677582285
25,4,319.5248753763691,PUS,KIX,3,13.480398788450737,37890.0,3090.0,False,滋賀県,Shiga Ken,大津市,35.0045,135.8686,0.0815518606492478,10.542442504012646,0.058234165024778385,0.336766934440222,1.400412637745348,2315.4082945628925,0.2885850497810276,1.3345378468480171
25,5,319.5248753763691,PUS,KIX,3,14.244200255538724,24910.0,3720.0,False,滋賀県,Shiga Ken,大津市,35.0045,135.8686,0.1493376154154957,10.123024608256227,0.07200577734792515,0.7294632612527747,2.0739671303583096,1910.7656009124546,0.6662196683666162,1.9468636018062995
25,6,319.5248753763691,PUS,KIX,3,13.526308951823871,18120.0,2330.0,False,滋賀県,Shiga Ken,大津市,35.0045,135.8686,0.1285871964679911,9.80477157959697,0.07592624441897981,0.5268448450390224,1.6935803614678362,1480.365227224022,0.4535794350941984,1.5739359160504
